"店舗名／法人名","都道府県","提案区分","ドリスロ提案区分","エリア表記(ドリスロ)","DMM_エリア表記","インフル依頼","フェーズ","案件 所有者","初開催フラグ","イベント日"
"マルハンメガシティ三島駿東","静岡県","ZIZAI_ドリパチ","","国道1号線(バイパス)伏見ICすぐの大型店舗","","フル","100%：受注確定","横井 智","0","2023/09/29"
"D’STATION上田店","長野県","ZIZAI_ドリパチ","","上田市秋和の大型店","","フル","100%：受注確定","吉川 英優","0","2023/09/29"
"D’STATION上田店","長野県","ZIZAI_ドリスロ","全台; 3台並び","上田市秋和の大型店","","フル","100%：受注確定","吉川 英優","0","2023/09/29"
"マルハンメガシティ横浜町田店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","横浜市瀬谷区目黒町","","take6","100%：受注確定","青木 柊太","0","2023/09/29"
"パールショップともえ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","セブンイレブン川越今福店前","","いけちん","100%：受注確定","高野 純一","0","2023/09/29"
"ニュークラウン川越2号店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","川越駅徒歩2分","","いけちん","100%：受注確定","青木 柊太","0","2023/09/29"
"パラッツォ川越店","埼玉県","ZIZAI_ドリスロ","3台並び","本川越駅近くの大型店","","いけちん","100%：受注確定","高野 純一","0","2023/09/29"
"フラミンゴ浜野店","千葉県","ZIZAI_ドリスロ","3台並び","村田町ドン・キホーテ向かいのお店","","ミスター","100%：受注確定","高野 純一","0","2023/09/29"
"プレイスポット　ドラゴン","神奈川県","ZIZAI_ドリスロ","スマスロ・6.5","川崎市宮前区　フィアット前","","take6","100%：受注確定","高野 純一","0","2023/09/29"
"ミリオン習志野店","千葉県","ZIZAI_ドリスロ","スマスロ・6.5","船橋市習志野４丁目コジマ向かいのお店","","ミスター","100%：受注確定","高野 純一","0","2023/09/29"
"やすだ東大宮店","埼玉県","DMM_ドリスロ","3台並び; オキドキ・チバリヨ; スマスロ・6.5","","東大宮駅すぐの線路沿いの店舗","","100%：受注確定","DMM入力用","0","2023/09/29"
"やすだ幕張店","千葉県","DMM_ドリスロ","3台並び; スマスロ・6.5","千葉市花見川区デニーズ付近","千葉市花見川区デニーズ付近","","100%：受注確定","DMM入力用","0","2023/09/30"
"ウイング石巻店","宮城県","DMM_ドリスロ","3台並び; スマスロ・6.5","石巻市門脇　ガスト石巻西店近く","石巻市門脇　ガスト石巻西店近く","ずんだ","100%：受注確定","DMM入力用","0","2023/09/30"
"マルハン都筑店","神奈川県","ZIZAI_ドリスロ","スマスロ・6.5","横浜市都筑区","","take6","100%：受注確定","青木 柊太","0","2023/09/30"
"パールショップともえ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","セブンイレブン川越今福店前","","","100%：受注確定","高野 純一","0","2023/09/30"
"出玉王田無店","東京都","ZIZAI_ドリスロ","オキドキ・チバリヨ","西東京市新青梅街道沿「田無タワー」近くのお店","","","100%：受注確定","小野田 眞一","0","2023/09/30"
"LOVE","和歌山県","ZIZAI_ドリスロ","ジャグ・ハナ","海南市築地 スーパーセンターオークワ近く","","パワーちゃん","100%：受注確定","岩下 龍介","0","2023/09/30"
"スーパーライブガーデン小山喜沢店","栃木県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","","","エルモ","100%：受注確定","吉川 英優","0","2023/09/30"
"やすだ所沢店","埼玉県","DMM_ドリスロ","3台並び","所沢インター降りてマクドナルド目の前の店舗","所沢インター降りてマクドナルド目の前の店舗","","100%：受注確定","DMM入力用","0","2023/09/30"
"マルハン函南店","静岡県","ZIZAI_ドリスロ","3台並び","田方郡函南町のお店","","フル","100%：受注確定","横井 智","0","2023/09/30"
"ピーアーク千葉駅前","千葉県","ZIZAI_ドリスロ","3台並び","千葉駅東口駅前の大型店","","ミスター","100%：受注確定","佐藤 寿","0","2023/09/30"
"イーグル袖ヶ浦店","千葉県","ZIZAI_ドリスロ","3台並び","国道16号線『勝下交差点』を曲がり2つ目信号左折『JR長浦駅』からは徒歩1,000秒","","ミスター","100%：受注確定","高野 純一","0","2023/09/30"
"パラッツォ馬橋駅前店","千葉県","ZIZAI_ドリスロ","3台並び","馬橋駅徒歩1分の大型店","","ミスター","100%：受注確定","高野 純一","0","2023/09/30"
"ガーデン東大宮","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市見沼区の大型店","","","100%：受注確定","小野田 眞一","0","2023/09/30"
"ニラク福島太平寺店","福島県","DMM_ドリスロ","全台; 3台並び","","ヤマダデンキテックランド福島南店近く","フル","100%：受注確定","DMM入力用","0","2023/09/30"
"123宝塚店","兵庫県","ZIZAI_ドリスロ","3台並び","","","ビクトリー","100%：受注確定","岩下 龍介","0","2023/09/30"
"アスカ蕨駅前店","埼玉県","ZIZAI_ドリスロ","3台並び","JR蕨駅西口出てすぐのお店","","塊","100%：受注確定","青木 柊太","0","2023/09/30"
"テンダーBOSS","栃木県","ZIZAI_ドリスロ","3台並び; スマスロ・6.5","","","","100%：受注確定","吉川 英優","0","2023/10/01"
"スロットタワージャルダン","埼玉県","ZIZAI_ドリスロ","3台並び","ふじみ野上福岡","","","100%：受注確定","小野田 眞一","0","2023/10/01"
"ミュージアム21バイパス店","和歌山県","ZIZAI_ドリスロ","3台並び","田辺市バイパス沿い ニトリさん近く","","","100%：受注確定","岩下 龍介","0","2023/10/01"
"ベガビック今池店","愛知県","ZIZAI_ドリスロ","3台並び","","","寿司","100%：受注確定","横井 智","0","2023/10/01"
"大一岩塚店","愛知県","ZIZAI_ドリスロ","3台並び","名古屋市中村区岩塚本通近くのお店","","","100%：受注確定","横井 智","0","2023/10/01"
"パールショップともえ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","セブンイレブン川越今福店前","","","100%：受注確定","高野 純一","0","2023/10/01"
"パラッツォ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; スマスロ・6.5","本川越駅近くの大型店","","","100%：受注確定","高野 純一","0","2023/10/01"
"やすだ所沢店","埼玉県","DMM_ドリスロ","3台並び","所沢インター降りてマクドナルド目の前の店舗","所沢インター降りてマクドナルド目の前の店舗","","100%：受注確定","DMM入力用","0","2023/10/01"
"ニラク郡山並木店","福島県","DMM_ドリスロ","全台; ジャグ・ハナ","","サンドラッグ並木店近く","","100%：受注確定","DMM入力用","0","2023/10/01"
"ニラク郡山荒井店","福島県","DMM_ドリスロ","3台並び; ジャグ・ハナ","","ENEOS郡山南インター店近く","","100%：受注確定","DMM入力用","0","2023/10/01"
"パラッツォ志津店","千葉県","ZIZAI_ドリスロ","3台並び; スマスロ・6.5","佐倉市京成志津駅南口すぐ","","ミスター","100%：受注確定","高野 純一","0","2023/10/01"
"ジアス上大岡","神奈川県","ZIZAI_ドリパチ","","上大岡西","","","100%：受注確定","小野田 眞一","0","2023/10/01"
"ジアス上大岡","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","上大岡西","","","100%：受注確定","小野田 眞一","0","2023/10/01"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; スマスロ・6.5","都筑区茅ヶ崎中央　センター南駅から直結のお店","","","100%：受注確定","高野 純一","0","2023/10/01"
"ヴィーナス東金店","千葉県","ZIZAI_ドリスロ","3台並び","東金市ﾄﾞﾗｯｸﾞｽﾄｱﾄﾗｲｳｪﾙ東金求名店隣","","ミスター","100%：受注確定","高野 純一","0","2023/10/01"
"パラッツォ船橋店","千葉県","ZIZAI_ドリスロ","3台並び","京成船橋駅西口出て目の前","","ミスター","100%：受注確定","高野 純一","0","2023/10/01"
"虹のある街川口店","埼玉県","ZIZAI_ドリスロ","3台並び","焼肉セナラ川口の横","","れお","100%：受注確定","青木 柊太","0","2023/10/01"
"LOVE","和歌山県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","海南市築地 スーパーセンターオークワ近く","","パワーちゃん","100%：受注確定","岩下 龍介","0","2023/10/02"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリパチ","","都筑区茅ヶ崎中央　センター南駅から直結のお店","","take6","100%：受注確定","高野 純一","0","2023/10/02"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; スマスロ・6.5","都筑区茅ヶ崎中央　センター南駅から直結のお店","","take6","100%：受注確定","高野 純一","0","2023/10/02"
"P-STATION","宮城県","DMM_ドリスロ","全台; ジャグ・ハナ","仙台駅西口ロフト近く","仙台駅西口ロフト近く","ずんだ","100%：受注確定","DMM入力用","0","2023/10/02"
"サンパレス大杉店","東京都","ZIZAI_ドリスロ","3台並び","江戸川区環七通り大杉5丁目交差点近くのお店","","イリヤ","100%：受注確定","小野田 眞一","0","2023/10/02"
"PARLOR JOY PARK石巻店","宮城県","ZIZAI_ドリスロ","3台並び","ENEOS石巻大街道店前","","ずんだ","100%：受注確定","小野田 眞一","0","2023/10/03"
"アスカ蕨駅前店","埼玉県","ZIZAI_ドリスロ","3台並び","JR蕨駅西口出てすぐのお店","","塊","100%：受注確定","青木 柊太","0","2023/10/03"
"JOY PARK赤井店","宮城県","DMM_ドリスロ","3台並び","東松島市赤井　ドンキホーテ近く","東松島市赤井　ドンキホーテ近くの店舗","ずんだ","100%：受注確定","DMM入力用","0","2023/10/03"
"JOY PARK湊店","宮城県","DMM_ドリスロ","全台; 3台並び","石巻市湊　薬王堂近く","石巻市湊　薬王堂近く","ずんだ","100%：受注確定","DMM入力用","0","2023/10/03"
"ガーデン亀戸","東京都","ZIZAI_ドリスロ","3台並び","スカイツリーが見えるお店","","","100%：受注確定","小野田 眞一","0","2023/10/03"
"アムディ野田","千葉県","ZIZAI_ドリスロ","全台; 3台並び","野田市上三ヶ尾付近のお店","","","100%：受注確定","佐藤 寿","0","2023/10/03"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; スマスロ・6.5","都筑区茅ヶ崎中央　センター南駅から直結のお店","","take6","100%：受注確定","高野 純一","0","2023/10/03"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリパチ","","都筑区茅ヶ崎中央　センター南駅から直結のお店","","take6","100%：受注確定","高野 純一","0","2023/10/03"
"やすだ東大宮店","埼玉県","DMM_ドリスロ","3台並び; スマスロ・6.5","","東大宮駅すぐの線路沿いの店舗","いけちん","100%：受注確定","DMM入力用","0","2023/10/03"
"新！ガーデン西浦和","埼玉県","ZIZAI_ドリスロ","3台並び","西浦和のいつものお店","","いけちん","100%：受注確定","小野田 眞一","0","2023/10/04"
"BIG PANDORA井土ヶ谷店新館","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","横浜市南区井土ヶ谷駅近くのお店","","take6","100%：受注確定","佐藤 寿","0","2023/10/04"
"ゴー港店","愛知県","ZIZAI_ドリパチ","","名古屋市港区東海通沿いのお店","","","100%：受注確定","横井 智","0","2023/10/05"
"KING BOSS 1000","栃木県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ; オキドキ・チバリヨ; スマスロ・6.5","","","エルモ","100%：受注確定","吉川 英優","0","2023/10/05"
"やすだ柏店","千葉県","DMM_ドリスロ","3台並び; ジャグ・ハナ","","柏市十余二「柏市リサイクルプラザ前（バス停）」付近","ミスター","100%：受注確定","DMM入力用","0","2023/10/05"
"モナコ別府","兵庫県","ZIZAI_ドリスロ","ジャグ・ハナ","兵庫県別府駅付近のお店","","ビクトリー","100%：受注確定","横井 智","0","2023/10/05"
"パラッツォ蕨店","埼玉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","蕨市 蕨駅東口駅前の大型店","","いけちん","100%：受注確定","高野 純一","0","2023/10/05"
"ベガビック今池店","愛知県","ZIZAI_ドリスロ","3台並び","","","寿司","100%：受注確定","横井 智","0","2023/10/06"
"アムズガーデン石巻湊店","宮城県","ZIZAI_ドリスロ","3台並び","石巻湊地区で唯一の4円パチンコ20円スロット併設店","","","100%：受注確定","小野田 眞一","0","2023/10/06"
"スロットハウスムサシ矢本店","宮城県","ZIZAI_ドリスロ","ジャグ・ハナ","東松島市唯一のスロ専","","ずんだ","100%：受注確定","小野田 眞一","0","2023/10/06"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; スマスロ・6.5","スーパーBOSS","","エルモ","100%：受注確定","吉川 英優","0","2023/10/06"
"ライブガーデン佐野スロット店","栃木県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ","","","エルモ","100%：受注確定","吉川 英優","0","2023/10/06"
"パールショップともえ佐原山之辺店","千葉県","ZIZAI_ドリスロ","全台; 3台並び; オキドキ・チバリヨ","香取市山之辺ファミリーマート付近","","","100%：受注確定","高野 純一","0","2023/10/06"
"MGM浦和店","埼玉県","DMM_ドリスロ","3台並び","武蔵浦和駅近く線路下の店舗","武蔵浦和駅付近線路下のお店","","100%：受注確定","DMM入力用","0","2023/10/06"
"ガーデン北戸田","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区のいつものお店","","いけちん","100%：受注確定","小野田 眞一","0","2023/10/06"
"多賀城ひまわり","宮城県","DMM_ドリスロ","3台並び","","多賀城市イオン多賀城店近く","ずんだ","100%：受注確定","DMM入力用","0","2023/10/06"
"パールショップともえ淵野辺店","神奈川県","ZIZAI_ドリスロ","3台並び","相模原中央区淵野辺駅徒歩4分青山学院大学付近","","take6","100%：受注確定","高野 純一","0","2023/10/07"
"スロットタワージャルダン","埼玉県","ZIZAI_ドリスロ","3台並び","ふじみ野上福岡","","れお","100%：受注確定","小野田 眞一","0","2023/10/07"
"D'station羽生店","埼玉県","ZIZAI_ドリスロ","3台並び","","","","100%：受注確定","吉川 英優","0","2023/10/07"
"ベガスベガス大和町店","宮城県","DMM_ドリスロ","3台並び; ジャグ・ハナ","","若林区大和町六丁の目交差点近くの店舗","ずんだ","100%：受注確定","DMM入力用","0","2023/10/07"
"BIG PANDORA浅草店 本館","東京都","ZIZAI_ドリスロ","3台並び","台東区浅草ロックス横のお店","","カリスマ","100%：受注確定","佐藤 寿","0","2023/10/07"
"D’STATION仙台泉店","宮城県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","仙台市泉区市名坂ミニストップの隣","","ずんだ","100%：受注確定","吉川 英優","0","2023/10/07"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; スマスロ・6.5","スーパーBOSS","","エルモ","100%：受注確定","吉川 英優","0","2023/10/07"
"Super D’STATION鴻巣店","埼玉県","ZIZAI_ドリスロ","3台並び","鴻巣市鎌塚　ローソン鴻巣鎌塚北店近くの大型店","","","100%：受注確定","吉川 英優","0","2023/10/07"
"Super D’STATION入間店","埼玉県","ZIZAI_ドリスロ","3台並び","入間市宮寺の大型店","","","100%：受注確定","吉川 英優","0","2023/10/07"
"一番舘柏店","千葉県","ZIZAI_ドリスロ","3台並び","柏市豊四季駅","","ミスター","100%：受注確定","吉川 英優","0","2023/10/07"
"パールショップともえ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","セブンイレブン川越今福店前","","いけちん","100%：受注確定","高野 純一","0","2023/10/07"
"LOVE","和歌山県","ZIZAI_ドリスロ","ジャグ・ハナ","海南市築地 スーパーセンターオークワ近く","","パワーちゃん","100%：受注確定","岩下 龍介","0","2023/10/07"
"パールショップともえ銚子今宮店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","銚子市今宮町にあるお店","","ミスター","100%：受注確定","高野 純一","0","2023/10/07"
"パールショップともえ成田969","千葉県","ZIZAI_ドリスロ","全台; 3台並び; スマスロ・6.5","","","ミスター","100%：受注確定","高野 純一","0","2023/10/07"
"パールショップともえ成田969","千葉県","ZIZAI_ドリパチ","","","","ミスター","100%：受注確定","高野 純一","0","2023/10/07"
"Super D’STATION上里店","埼玉県","ZIZAI_ドリスロ","3台並び","児玉郡上里町 国道17号線沿いの大型店","","","100%：受注確定","吉川 英優","0","2023/10/07"
"ピーアーク千葉駅前","千葉県","ZIZAI_ドリスロ","3台並び","千葉駅東口駅前の大型店","","ミスター","100%：受注確定","佐藤 寿","0","2023/10/07"
"やすだ稲毛駅前店","千葉県","DMM_ドリスロ","3台並び","","稲毛駅東口 千葉銀行近く","ミスター","100%：受注確定","DMM入力用","0","2023/10/07"
"ZENT岡崎インター店","愛知県","ZIZAI_ドリスロ","3台並び","岡崎市I.C付近の超大型店","","","100%：受注確定","横井 智","1","2023/10/07"
"虹のある街川口店","埼玉県","ZIZAI_ドリスロ","3台並び","焼肉セナラ川口の横","","れお","100%：受注確定","青木 柊太","0","2023/10/07"
"ザッププレステージ店","神奈川県","ZIZAI_ドリスロ","ジャグ・ハナ; オキドキ・チバリヨ","横須賀市舟倉","","take6","100%：受注確定","青木 柊太","0","2023/10/08"
"夢広場ニューセブン利府街道店","宮城県","ZIZAI_ドリスロ","3台並び","仙台バイパスより利府街道に降りてスグ","","ずんだ","100%：受注確定","小野田 眞一","0","2023/10/08"
"夢広場ニューセブン利府街道店","宮城県","ZIZAI_ドリパチ","","仙台バイパスより利府街道に降りてスグ","","ずんだ","100%：受注確定","小野田 眞一","0","2023/10/08"
"スーパーBOSS","栃木県","ZIZAI_ドリスロ","全台; スマスロ・6.5","スーパーBOSS","","エルモ","100%：受注確定","吉川 英優","0","2023/10/08"
"Super D’STATION入間店","埼玉県","ZIZAI_ドリスロ","3台並び","入間市宮寺の大型店","","","100%：受注確定","吉川 英優","0","2023/10/08"
"アスカ狭山店","埼玉県","ZIZAI_ドリスロ","スマスロ・6.5","狭山市智光山公園側","","塊","100%：受注確定","青木 柊太","0","2023/10/08"
"ニュークラウン川越2号店","埼玉県","ZIZAI_ドリスロ","3台並び","川越駅徒歩2分","","いけちん","100%：受注確定","青木 柊太","0","2023/10/08"
"パラッツォ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","本川越駅近くの大型店","","","100%：受注確定","高野 純一","0","2023/10/08"
"やすだ所沢店","埼玉県","DMM_ドリスロ","3台並び","所沢インター降りてマクドナルド目の前の店舗","所沢インター降りてマクドナルド目の前の店舗","","100%：受注確定","DMM入力用","0","2023/10/08"
"Super D’STATION熊谷店","埼玉県","ZIZAI_ドリスロ","3台並び","熊谷市17号バイパス沿のセブンイレブン近くの大型店","","","100%：受注確定","吉川 英優","0","2023/10/08"
"セントラルMEGASTAGE1000","福島県","ZIZAI_ドリスロ","全台; 3台並び","南相馬市イオンスーパーセンター近くジャズモールのお店","","ずんだ","100%：受注確定","佐藤 寿","0","2023/10/08"
"パールショップともえ旭店","千葉県","ZIZAI_ドリスロ","全台; 3台並び","","","ミスター","100%：受注確定","高野 純一","0","2023/10/08"
"パールショップともえ八日市場店","千葉県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","総武本線八日市場駅からすぐ","","ミスター","100%：受注確定","高野 純一","0","2023/10/08"
"D’STATION坂戸店","埼玉県","ZIZAI_ドリスロ","3台並び","坂戸市塚越 セブンイレブン坂戸塚越店裏の大型店","","Twitter NG","100%：受注確定","吉川 英優","0","2023/10/08"
"やすだ東大宮店","埼玉県","DMM_ドリスロ","3台並び; オキドキ・チバリヨ; スマスロ・6.5","","東大宮駅すぐの線路沿いの店舗","","100%：受注確定","DMM入力用","0","2023/10/08"
"ガーデン東大宮","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市見沼区の大型店","","いけちん","100%：受注確定","小野田 眞一","0","2023/10/08"
"Super D’STATION座間店","神奈川県","ZIZAI_ドリスロ","3台並び","座間市ひばりが丘商業施設併設の大型店","","take6","100%：受注確定","吉川 英優","0","2023/10/08"
"チャンピオン田名","神奈川県","ZIZAI_ドリスロ","3台並び","相模原市中央区田名　うどん屋さんの隣のお店","","take6","100%：受注確定","佐藤 寿","0","2023/10/08"
"スロットタワージャルダン","埼玉県","ZIZAI_ドリスロ","3台並び","ふじみ野上福岡","","れお","100%：受注確定","小野田 眞一","0","2023/10/09"
"Hard Rock仙台駅前店","宮城県","DMM_ドリスロ","3台並び","","仙台市若林区新寺通りのスロット専門店","ずんだ","100%：受注確定","DMM入力用","0","2023/10/09"
"ZENT可児店","岐阜県","ZIZAI_ドリスロ","ジャグ・ハナ","可児市の122号沿いにある大型店","","","100%：受注確定","横井 智","0","2023/10/09"
"パールショップともえ川越店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","セブンイレブン川越今福店前","","いけちん","100%：受注確定","高野 純一","0","2023/10/09"
"ニュークラウン川越2号店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び","川越駅徒歩2分","","","100%：受注確定","青木 柊太","0","2023/10/09"
"パラッツォ川越店","埼玉県","ZIZAI_ドリスロ","3台並び","本川越駅近くの大型店","","","100%：受注確定","高野 純一","0","2023/10/09"
"ZAPP黒磯","栃木県","DMM_ドリスロ","3台並び","ＺＡＰＰ黒磯","ZAPP黒磯","","100%：受注確定","DMM入力用","0","2023/10/09"
"パールショップともえ東金SideII","千葉県","ZIZAI_ドリスロ","全台; 3台並び","","","ミスター","100%：受注確定","高野 純一","0","2023/10/09"
"Super D’STATION上里店","埼玉県","ZIZAI_ドリスロ","3台並び","児玉郡上里町 国道17号線沿いの大型店","","","100%：受注確定","吉川 英優","0","2023/10/09"
"やすだ東大宮店","埼玉県","DMM_ドリスロ","3台並び; オキドキ・チバリヨ; スマスロ・6.5","","東大宮駅すぐの線路沿いの店舗","","100%：受注確定","DMM入力用","0","2023/10/09"
"スーパーライブガーデン行田店","埼玉県","ZIZAI_ドリスロ","ジャグ・ハナ; スマスロ・6.5","行田市持田　17号バイパス沿いの大型店","","いけちん","100%：受注確定","吉川 英優","0","2023/10/09"
"プレイランド第一平和","愛知県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ","一宮市155号線沿いのお店","","愛知","100%：受注確定","横井 智","0","2023/10/09"
"パラッツォ鳩ヶ谷店","埼玉県","ZIZAI_ドリパチ","","","","","100%：受注確定","高野 純一","0","2023/10/09"
"パラッツォ鳩ヶ谷店","埼玉県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; オキドキ・チバリヨ; スマスロ・6.5","","","","100%：受注確定","高野 純一","0","2023/10/09"
"マルキ松戸店","千葉県","ZIZAI_ドリスロ","3台並び","松戸市金ヶ作五香駅すぐ","","ミスター","100%：受注確定","高野 純一","0","2023/10/10"
"やすだ幕張店","千葉県","DMM_ドリスロ","3台並び","千葉市花見川区デニーズ付近","千葉市花見川区デニーズ付近","","100%：受注確定","DMM入力用","0","2023/10/10"
"アムズガーデン南吉成店","宮城県","ZIZAI_ドリスロ","3台並び","","","","100%：受注確定","小野田 眞一","0","2023/10/10"
"パチンコクリエ十日市場店","神奈川県","DMM_ドリスロ","スマスロ・6.5","十日市場駅北口出てすぐのお店","十日市場駅北口出てすぐのお店","take6","100%：受注確定","DMM入力用","0","2023/10/10"
"Happy　BOSS","栃木県","ZIZAI_ドリスロ","3台並び; スマスロ・6.5","","","エルモ","100%：受注確定","吉川 英優","0","2023/10/10"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリパチ","","都筑区茅ヶ崎中央　センター南駅から直結のお店","","","100%：受注確定","高野 純一","0","2023/10/10"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; スマスロ・6.5","都筑区茅ヶ崎中央　センター南駅から直結のお店","","","100%：受注確定","高野 純一","0","2023/10/10"
"イーグル袖ヶ浦店","千葉県","ZIZAI_ドリスロ","3台並び","国道16号線『勝下交差点』を曲がり2つ目信号左折『JR長浦駅』からは徒歩1,000秒","","ミスター","100%：受注確定","高野 純一","0","2023/10/10"
"ライブガーデン幸手権現堂店","埼玉県","ZIZAI_ドリスロ","全台; ジャグ・ハナ","幸手市","","れお","100%：受注確定","吉川 英優","0","2023/10/10"
"パールショップともえ松戸店","千葉県","ZIZAI_ドリパチ","","北総線大町駅前のお店","","","100%：受注確定","高野 純一","0","2023/10/10"
"ガーデン北戸田","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区のいつものお店","","いけちん","100%：受注確定","小野田 眞一","0","2023/10/10"
"岩沼ひまわり","宮城県","DMM_ドリスロ","3台並び","","岩沼市末広ダイシンの近く","ずんだ","100%：受注確定","DMM入力用","0","2023/10/10"
"新！ガーデン西浦和","埼玉県","ZIZAI_ドリスロ","3台並び","西浦和のいつものお店","","いけちん","100%：受注確定","小野田 眞一","0","2023/10/11"
"ミュージアム21バイパス店","和歌山県","ZIZAI_ドリスロ","3台並び","田辺市バイパス沿い ニトリさん近く","","パワーちゃん","100%：受注確定","岩下 龍介","0","2023/10/11"
"KING BOSS 1000","栃木県","ZIZAI_ドリスロ","3台並び; ジャグ・ハナ; オキドキ・チバリヨ; スマスロ・6.5","","","エルモ","100%：受注確定","吉川 英優","0","2023/10/11"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","3台並び","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","","100%：受注確定","室屋 雄三","0","2023/10/11"
"クリエ府中西原店","東京都","DMM_ドリスロ","スマスロ・6.5","","府中市西原町ヤマダ電機横","カリスマ","100%：受注確定","DMM入力用","0","2023/10/11"
"ウイング岩出店","和歌山県","DMM_ドリスロ","スマスロ・6.5","岩出市セブンイレブン岩出清水店近く","岩出市セブンイレブン岩出清水店近く","パワーちゃん","100%：受注確定","DMM入力用","0","2023/10/11"
"やすだ八潮店","埼玉県","DMM_ドリスロ","3台並び; ジャグ・ハナ; オキドキ・チバリヨ; スマスロ・6.5","島忠ホームセンター八潮店さん隣り","島忠ホームセンター八潮店さん隣り","いけちん","100%：受注確定","DMM入力用","0","2023/10/11"
"大一岩塚店","愛知県","ZIZAI_ドリスロ","3台並び","名古屋市中村区岩塚本通近くのお店","","寿司","100%：受注確定","横井 智","0","2023/10/11"
"一番舘川越ふじみ野店","埼玉県","ZIZAI_ドリスロ","3台並び","川越市大字渋井　川越新座線沿い","","いけちん","100%：受注確定","吉川 英優","0","2023/10/11"
"出玉王田無店","東京都","ZIZAI_ドリスロ","3台並び","西東京市新青梅街道沿「田無タワー」近くのお店","","イリヤ","100%：受注確定","小野田 眞一","0","2023/10/11"
"ジアス上大岡","神奈川県","ZIZAI_ドリスロ","全台; 3台並び","上大岡西","","take6","100%：受注確定","小野田 眞一","0","2023/10/11"
"ジアス上大岡","神奈川県","ZIZAI_ドリパチ","","上大岡西","","イリヤ","100%：受注確定","小野田 眞一","0","2023/10/11"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリスロ","全台; 3台並び; ジャグ・ハナ; スマスロ・6.5","都筑区茅ヶ崎中央　センター南駅から直結のお店","","イリヤ","100%：受注確定","高野 純一","0","2023/10/11"
"パールショップともえセンター南店","神奈川県","ZIZAI_ドリパチ","","都筑区茅ヶ崎中央　センター南駅から直結のお店","","イリヤ","100%：受注確定","高野 純一","0","2023/10/11"
"一番舘内谷店","埼玉県","ZIZAI_ドリスロ","3台並び","さいたま市南区内谷 浦和南 I.C.近く","","いけちん","100%：受注確定","吉川 英優","0","2023/10/11"
"パラッツォ船橋店","千葉県","ZIZAI_ドリスロ","3台並び","京成船橋駅西口出て目の前","","ミスター","100%：受注確定","高野 純一","0","2023/10/11"
"やすだ幕張店","千葉県","DMM_ドリスロ","3台並び","千葉市花見川区デニーズ付近","千葉市花見川区デニーズ付近","ミスター","100%：受注確定","DMM入力用","0","2023/10/12"
"FACE1100瑞穂","東京都","ZIZAI_ドリスロ","","西多摩郡瑞穂町ザ・モールみずほ１６ そばのお店","","","100%：受注確定","室屋 雄三","0","2023/10/12"
"ARISE DAIAN 荒巻店","宮城県","DMM_ドリスロ","全台","","仙台市青葉区荒巻本沢　幸楽苑近くの店舗","ずんだ","100%：受注確定","DMM入力用","0","2023/10/12"
